# POINT3D_ID X Y Z R G B ERROR
481 -2.208704 3.051035 4.64713 255 255 255 0
482 -2.598377 3.169058 4.091927 255 255 255 0
483 -2.486019 3.195821 4.262269 255 255 255 0
484 -2.358267 3.234883 4.470555 255 255 255 0
485 -2.198475 3.062422 4.203523 255 255 255 0
486 -2.091085 3.064882 4.59933 255 255 255 0
487 -2.783621 3.117104 4.177658 255 255 255 0
488 -2.008199 3.048159 4.133778 255 255 255 0
489 -2.043153 3.328189 4.684151 255 255 255 0
490 -2.084146 3.256212 4.410044 255 255 255 0
491 -2.269143 3.131548 4.542769 255 255 255 0
492 -2.702024 3.149629 4.277218 255 255 255 0
493 -2.068578 3.167062 4.60108 255 255 255 0
494 -2.476363 3.055971 4.35289 255 255 255 0
495 -2.74804 3.245384 4.151982 255 255 255 0
496 -2.533125 3.191369 3.943812 255 255 255 0
497 -2.130605 3.248263 4.419845 255 255 255 0
498 -2.112731 3.125582 4.569426 255 255 255 0
499 -2.513093 3.066878 3.894508 255 255 255 0
500 -2.570874 3.191945 4.267589 255 255 255 0
501 -1.640587 3.242321 4.487883 255 255 255 0
502 -2.021392 3.173174 4.459657 255 255 255 0
503 -1.464319 3.317326 4.523333 255 255 255 0
504 -1.69465 3.183418 4.639701 255 255 255 0
505 -1.262851 3.16359 4.720649 255 255 255 0
506 -1.347117 3.049191 4.768576 255 255 255 0
507 -1.773472 3.385372 4.745077 255 255 255 0
508 -1.268628 3.209685 4.732791 255 255 255 0
509 -1.874479 3.029883 4.310126 255 255 255 0
510 -1.817403 3.223903 4.743139 255 255 255 0
511 -1.959273 3.12519 4.832514 255 255 255 0
512 -1.74542 3.135191 4.380186 255 255 255 0
513 -1.75421 3.290229 4.537158 255 255 255 0
514 -1.182219 3.295616 5.026667 255 255 255 0
515 -1.420296 3.24977 5.022714 255 255 255 0
516 -1.291995 3.006231 4.687521 255 255 255 0
517 -1.906286 3.26935 4.504266 255 255 255 0
518 -1.662921 3.299106 4.409338 255 255 255 0
519 -1.620944 3.385121 4.68661 255 255 255 0
520 -1.794909 3.11651 4.501727 255 255 255 0
521 -1.495369 3.170027 4.648524 255 255 255 0
522 -1.709421 3.085712 4.469588 255 255 255 0
523 -1.315018 3.163437 4.628442 255 255 255 0
524 -1.270669 3.128179 5.008395 255 255 255 0
525 -1.552996 3.278496 4.895231 255 255 255 0
526 -1.578177 3.249594 4.467065 255 255 255 0
527 -1.89865 3.225642 4.88762 255 255 255 0
528 -1.888774 3.176441 4.456503 255 255 255 0
529 -1.684835 3.218717 4.924186 255 255 255 0
530 -1.347234 3.230686 4.888955 255 255 255 0
531 -1.680347 3.430179 4.491921 255 255 255 0
532 -1.719719 3.149613 4.132359 255 255 255 0
533 -1.767508 3.364301 4.188255 255 255 255 0
534 -2.028396 3.055716 4.00821 255 255 255 0
