# IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
27 0.2004981 0.8106734 -0.1320728 -0.5340093 0 3.641069 -7.557109 1 frame_0026.png

28 0.2076367 0.8462921 -0.1168981 -0.4764572 2.384186E-07 3.643867 -7.524728 1 frame_0027.png

29 0.2128463 0.8772965 -0.1014241 -0.4180436 -2.384186E-07 3.650102 -7.494957 1 frame_0028.png

30 0.2162854 0.9043014 -0.08561295 -0.3579525 -2.384186E-07 3.659494 -7.466168 1 frame_0029.png

31 0.2180682 0.9278831 -0.0691968 -0.2944334 0 3.671992 -7.435617 1 frame_0030.png

32 0.2182498 0.9460809 -0.05380667 -0.2332441 -2.384186E-07 3.685848 -7.403698 1 frame_0031.png

33 0.2171436 0.9602821 -0.03864901 -0.1709189 -3.576279E-07 3.70118 -7.366282 1 frame_0032.png

34 0.2149801 0.9702118 -0.02416035 -0.1090365 -1.192093E-07 3.717137 -7.322235 1 frame_0033.png

35 0.2117967 0.9762397 -0.009711858 -0.04476511 0 3.734135 -7.267848 1 frame_0034.png

36 0.2079377 0.9779834 0.003665113 0.01723795 -1.490116E-08 3.75078 -7.206725 1 frame_0035.png

37 0.2035104 0.9758863 0.01611251 0.07726374 1.192093E-07 3.767121 -7.140138 1 frame_0036.png

38 0.1980257 0.9695259 0.02886527 0.1413232 0 3.784935 -7.062676 1 frame_0037.png

39 0.191663 0.9587722 0.04112873 0.2057418 1.192093E-07 3.803463 -6.980448 1 frame_0038.png

40 0.1846814 0.9442251 0.05233382 0.2675684 0 3.822073 -6.899849 1 frame_0039.png

41 0.1768474 0.9255635 0.0628241 0.3288015 7.152557E-07 3.841525 -6.82056 1 frame_0040.png

42 0.1681564 0.9027418 0.07250857 0.3892597 2.384186E-07 3.861892 -6.744524 1 frame_0041.png

43 0.1581027 0.8741 0.0817486 0.4519623 2.384186E-07 3.884311 -6.669364 1 frame_0042.png

44 0.1481216 0.8435045 0.08929635 0.5085139 0 3.905631 -6.605475 1 frame_0043.png

45 0.1377504 0.8094131 0.09577419 0.5627633 4.768372E-07 3.926932 -6.547774 1 frame_0044.png

46 0.1272911 0.7724602 0.1011618 0.6138961 2.384186E-07 3.947558 -6.496288 1 frame_0045.png

47 0.1173394 0.7346063 0.1054072 0.6599049 5.364418E-07 3.966328 -6.451793 1 frame_0046.png

48 0.1070326 0.6922388 0.1090531 0.7053064 1.490116E-08 3.98476 -6.408813 1 frame_0047.png

49 0.09760483 0.6502737 0.1118317 0.7450577 5.960464E-08 4.000553 -6.371229 1 frame_0048.png

50 0.08787864 0.6033574 0.1142384 0.7843385 -8.34465E-07 4.015568 -6.3335 1 frame_0049.png

51 0.07853287 0.5544559 0.1161886 0.8203118 8.34465E-07 4.02854 -6.298082 1 frame_0050.png

52 0.07480489 0.5338415 0.1168816 0.83412 1.072884E-06 4.033263 -6.284254 1 frame_0051.png

53 0.06663511 0.4863795 0.1182522 0.8631403 7.152557E-07 4.042616 -6.25491 1 frame_0052.png

54 0.05571127 0.4179727 0.1198005 0.8988008 0 4.052786 -6.219097 1 frame_0053.png

55 0.04727903 0.3614033 0.1207924 0.9233426 2.384186E-07 4.058654 -6.195785 1 frame_0054.png

